name,model_kind,aug_level,bbox_w,optimizer,lr_head,dropout,scheduler,weight_decay,batch_size,best_epoch,val_loss,val_acc,val_dice
p5_efficientnet_b0,efficientnet_b0,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,27,2.9621,0.7857,0.8518
p5_efficientnet_b0_pseudo,efficientnet_b0,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,24,3.0307,0.8095,0.8507
p5_resnet18_fold2,resnet18,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,27,3.1215,0.8286,0.849
p5_efficientnet_b0_fold2,efficientnet_b0,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,29,3.2021,0.8143,0.8394
p5_mobilenet_v3_small,mobilenet_v3_small,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,29,3.2195,0.7619,0.8389
p5_efficientnet_b0_fold1,efficientnet_b0,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,28,3.4203,0.8357,0.824
p5_mobilenet_v3_small_fold2,mobilenet_v3_small,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,29,3.4548,0.7714,0.8235
p5_efficientnet_b0_fold3,efficientnet_b0,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,28,3.449,0.8214,0.8154
p5_mobilenet_v3_small_fold1,mobilenet_v3_small,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,25,3.7244,0.7714,0.8058
p5_mobilenet_v3_small_fold3,mobilenet_v3_small,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,29,3.744,0.7643,0.7998
p5_resnet18,resnet18,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,22,3.7588,0.8452,0.7946
p5_resnet18_fold1,resnet18,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,24,3.9707,0.8429,0.7849
p5_resnet18_fold3,resnet18,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,29,5.3091,0.8214,0.6634
h2_wbbox_1,custom,basic,1.0,adamw,0.001,0.3,cosine,0.0005,32,19,1.7526,0.4286,0.6416
h1_adamw,custom,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,16,6.0191,0.5119,0.6394
h2_wbbox_10,custom,basic,10.0,adamw,0.001,0.3,cosine,0.0005,32,19,11.3599,0.4405,0.6383
h3_drop_03,custom,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,18,6.0278,0.4405,0.6368
opt_t7,custom,basic,4.050837781329674,adamw,0.0011736424885649085,0.22322520635999887,cosine,0.0005,32,9,5.0485,0.4881,0.6328
h1_adam,custom,basic,5.0,adam,0.001,0.3,cosine,0.0005,32,18,6.0843,0.3929,0.6324
h2_wbbox_5,custom,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,18,6.1226,0.4881,0.6283
g_lr2e-03_dp0.3_wb5.0,custom,basic,5.0,adamw,0.002,0.3,cosine,0.0005,32,11,6.3503,0.5952,0.6053
g_lr2e-03_dp0.3_wb2.0,custom,basic,2.0,adamw,0.002,0.3,cosine,0.0005,32,11,3.02,0.5476,0.5889
opt_t3,custom,basic,1.5199348301309807,adamw,0.0020396887264773375,0.3061695553391381,cosine,0.0005,32,8,2.489,0.4286,0.5809
g_lr1e-03_dp0.3_wb2.0,custom,basic,2.0,adamw,0.001,0.3,cosine,0.0005,32,11,3.1811,0.5833,0.5489
opt_t5,custom,basic,1.9594972058679163,adamw,0.0012273661723331349,0.26974693032602093,cosine,0.0005,32,8,3.2503,0.4405,0.5201
g_lr1e-03_dp0.3_wb5.0,custom,basic,5.0,adamw,0.001,0.3,cosine,0.0005,32,10,7.3103,0.4286,0.5079
g_lr5e-04_dp0.3_wb5.0,custom,basic,5.0,adamw,0.0005,0.3,cosine,0.0005,32,11,8.0276,0.4286,0.4322
opt_t9,custom,basic,4.833180632488465,adamw,0.0006049716507542575,0.24883605700319195,cosine,0.0005,32,9,7.7885,0.4286,0.4285
g_lr5e-04_dp0.3_wb2.0,custom,basic,2.0,adamw,0.0005,0.3,cosine,0.0005,32,11,3.6805,0.4286,0.4157
h1_sgd,custom,basic,5.0,sgd,0.01,0.3,cosine,0.0005,32,16,8.3784,0.4286,0.4123
opt_t8,custom,basic,9.23915031962725,adamw,0.00034847597967739357,0.6744427686266666,cosine,0.0005,32,0,14.7197,0.4286,0.4013
p1_custom_baseline,custom,basic,5.0,adamw,0.001,0.5,cosine,0.0005,32,22,8.4512,0.5714,0.378
opt_t1,custom,basic,1.1430983876313219,adamw,0.0004296748115469076,0.27799726016810133,cosine,0.0005,32,9,2.476,0.4286,0.3757
opt_t0,custom,basic,5.395030966670228,adamw,0.0007106591851092234,0.675357153204958,cosine,0.0005,32,0,9.288,0.4286,0.3556
p4_aug_basic,custom,basic,5.0,adamw,0.001,0.5,cosine,0.0005,32,16,8.7152,0.5714,0.3467
p4_aug_none,custom,none,5.0,adamw,0.001,0.5,cosine,0.0005,32,19,8.7387,0.5238,0.3443
h3_drop_05,custom,basic,5.0,adamw,0.001,0.5,cosine,0.0005,32,16,8.7973,0.4286,0.3369
g_lr5e-04_dp0.5_wb5.0,custom,basic,5.0,adamw,0.0005,0.5,cosine,0.0005,32,0,8.8498,0.4286,0.3326
g_lr5e-04_dp0.5_wb2.0,custom,basic,2.0,adamw,0.0005,0.5,cosine,0.0005,32,0,3.9604,0.4286,0.3326
p4_aug_strong,custom,strong,5.0,adamw,0.001,0.5,cosine,0.0005,32,16,8.8598,0.5714,0.33
opt_t6,custom,basic,1.5837031559118748,adamw,0.000857415319742081,0.5925879806965068,cosine,0.0005,32,0,3.2906,0.4286,0.3285
h3_drop_07,custom,basic,5.0,adamw,0.001,0.7,cosine,0.0005,32,0,8.8983,0.4286,0.3279
g_lr2e-03_dp0.5_wb2.0,custom,basic,2.0,adamw,0.002,0.5,cosine,0.0005,32,11,4.0323,0.4286,0.3111
opt_t4,custom,basic,2.7036160666620015,adamw,0.0006044543365247595,0.4623782158161189,cosine,0.0005,32,0,5.244,0.4286,0.3024
g_lr2e-03_dp0.5_wb5.0,custom,basic,5.0,adamw,0.002,0.5,cosine,0.0005,32,11,9.1177,0.4286,0.3021
opt_t2,custom,basic,1.0485387725194617,adamw,0.0011973917635685037,0.5540362888980227,cosine,0.0005,32,0,2.4881,0.4286,0.294
g_lr1e-03_dp0.5_wb2.0,custom,basic,2.0,adamw,0.001,0.5,cosine,0.0005,32,0,4.1921,0.4405,0.2619
g_lr1e-03_dp0.5_wb5.0,custom,basic,5.0,adamw,0.001,0.5,cosine,0.0005,32,0,9.4543,0.4881,0.2617
